Date,Open,High,Low,Close,Adj Close,Volume
2021-01-15,8.160000,8.240000,7.990000,8.000000,7.935678,397500
2021-01-19,8.060000,8.060000,7.750000,7.780000,7.717448,539400
2021-01-20,7.780000,7.950000,7.620000,7.880000,7.816643,552800
2021-01-21,7.940000,7.940000,7.530000,7.610000,7.548814,663900
2021-01-22,7.460000,7.700000,7.400000,7.480000,7.419859,560300
2021-01-25,7.460000,7.520000,7.270000,7.380000,7.320663,367800
2021-01-26,7.460000,7.880000,7.460000,7.780000,7.717448,805700
2021-01-27,7.650000,7.920000,7.500000,7.710000,7.648010,648000
2021-01-28,7.770000,7.950000,7.730000,7.750000,7.687688,267300
2021-01-29,7.730000,7.800000,7.440000,7.460000,7.400020,411800
2021-02-01,7.600000,7.880000,7.550000,7.860000,7.796804,394200
2021-02-02,7.920000,7.980000,7.720000,7.780000,7.717448,473000
2021-02-03,7.780000,7.880000,7.660000,7.780000,7.717448,293800
2021-02-04,7.800000,8.040000,7.690000,8.020000,7.955518,634700
2021-02-05,8.060000,8.280000,7.970000,8.270000,8.203508,679800
2021-02-08,8.320000,8.550000,8.190000,8.310000,8.243186,960900
2021-02-09,8.310000,8.320000,8.140000,8.270000,8.203508,342600
2021-02-10,8.260000,8.320000,8.080000,8.130000,8.064633,383900
2021-02-11,8.160000,8.320000,8.070000,8.300000,8.233267,575000
2021-02-12,8.320000,8.490000,8.050000,8.280000,8.213427,641400
2021-02-16,8.300000,8.690000,8.300000,8.590000,8.520935,957900
2021-02-17,8.520000,8.730000,8.360000,8.630000,8.560614,417500
2021-02-18,8.510000,9.160000,8.450000,8.720000,8.649890,1719900
2021-02-19,8.810000,9.050000,8.580000,8.630000,8.560614,1012100
2021-02-22,8.650000,8.650000,8.020000,8.030000,7.965437,1075800
2021-02-23,8.040000,8.430000,7.800000,7.950000,7.886080,1460700
2021-02-24,8.000000,8.440000,7.890000,8.160000,8.094392,875700
2021-02-25,8.240000,8.260000,7.610000,7.650000,7.588493,1024400
2021-02-26,7.750000,7.750000,7.370000,7.450000,7.390100,1228500
2021-03-01,7.630000,7.840000,7.570000,7.590000,7.528975,509900
2021-03-02,7.520000,7.720000,7.420000,7.670000,7.608332,563100
2021-03-03,7.630000,7.730000,7.240000,7.280000,7.221467,584100
2021-03-04,7.370000,7.680000,7.190000,7.390000,7.330583,1318300
2021-03-05,7.540000,7.560000,7.000000,7.120000,7.062754,985900
2021-03-08,7.120000,7.300000,7.020000,7.130000,7.072674,1170600
2021-03-09,7.120000,7.310000,7.040000,7.190000,7.132191,1039800
2021-03-10,7.280000,7.790000,7.270000,7.750000,7.687688,1230000
2021-03-11,7.750000,7.870000,7.590000,7.860000,7.796804,780600
2021-03-12,7.740000,8.050000,7.740000,7.940000,7.876161,757800
2021-03-15,8.020000,8.390000,7.960000,8.220000,8.153910,919500
2021-03-16,8.300000,8.430000,7.920000,8.000000,7.935678,540800
2021-03-17,7.930000,8.090000,7.840000,8.070000,8.005116,529700
